ip_a,port_a,ip_b,port_b,l4,plane,n_pkts,n_bytes,dur_s,mean_len,label
104.18.27.209,443,12.1.1.132,51311,TCP,user,564,89402,7.1,158.5,benign_background
12.1.1.132,59155,2.17.112.67,443,UDP,user,258,162018,4.214,628.0,benign_background
12.1.1.132,55443,150.171.109.83,443,TCP,user,112,24270,90.721,216.7,benign_background
12.1.1.132,51305,34.120.177.193,443,TCP,user,84,19066,90.47,227.0,benign_background
12.1.1.132,47430,18.192.147.71,8001,TCP,user,82,12790,237.4,156.0,benign_background
12.1.1.132,49647,23.211.135.18,443,TCP,user,82,30196,0.923,368.2,benign_background
12.1.1.132,51306,185.199.111.133,443,TCP,user,70,16440,90.215,234.9,benign_background
192.168.70.129,,192.168.70.132,,SCTP,control,64,6400,230.401,100.0,control_ngap
12.1.1.132,62779,150.171.74.16,443,TCP,user,62,15170,122.84,244.7,benign_background
12.1.1.132,63424,23.211.135.58,443,TCP,user,60,12534,1.435,208.9,benign_background
12.1.1.132,55220,95.100.109.91,443,UDP,user,60,31040,0.102,517.3,benign_background
12.1.1.132,51027,51.116.246.104,443,TCP,user,58,13900,170.115,239.7,benign_background
12.1.1.132,63421,13.107.226.43,443,TCP,user,54,11014,90.538,204.0,benign_background
12.1.1.132,64888,64.233.167.95,443,UDP,user,52,31966,0.094,614.7,benign_background
104.18.27.209,443,12.1.1.132,62782,TCP,user,50,23002,5.325,460.0,benign_background
12.1.1.132,54125,23.211.135.18,443,TCP,user,50,18092,0.317,361.8,benign_background
12.1.1.132,51058,20.42.65.94,443,TCP,user,42,13026,5.02,310.1,benign_background
12.1.1.132,51307,128.24.70.119,443,TCP,user,40,6956,1.156,173.9,benign_background
12.1.1.132,51308,128.24.70.119,443,TCP,user,40,7108,0.905,177.7,benign_background
12.1.1.132,51309,128.24.70.119,443,TCP,user,40,6640,0.835,166.0,benign_background
12.1.1.132,62780,128.24.70.119,443,TCP,user,34,6628,0.715,194.9,benign_background
12.1.1.132,62781,128.24.70.119,443,TCP,user,34,6082,0.655,178.9,benign_background
12.1.1.132,52946,2.17.112.67,443,TCP,user,34,8964,10.17,263.6,benign_background
12.1.1.132,58372,95.100.109.91,443,TCP,user,34,9188,10.109,270.2,benign_background
12.1.1.132,58374,13.70.79.200,443,TCP,user,32,10562,1.06,330.1,benign_background
12.1.1.132,50421,74.178.130.41,443,TCP,user,30,3406,240.038,113.5,benign_background
12.1.1.132,50482,142.251.168.188,5228,TCP,user,28,3034,224.264,108.4,benign_background
12.1.1.132,18009,192.168.1.205,56947,TCP,user,28,6478,0.407,231.4,attack_tomcat_rce
12.1.1.132,18009,192.168.1.205,56942,TCP,user,22,3436,0.373,156.2,attack_tomcat_rce
12.1.1.132,18009,192.168.1.205,56945,TCP,user,22,4208,0.128,191.3,attack_tomcat_rce
12.1.1.132,18009,192.168.1.205,36537,TCP,user,22,4216,0.113,191.6,attack_tomcat_rce
12.1.1.132,18009,192.168.1.205,36538,TCP,user,22,4176,0.085,189.8,attack_tomcat_rce
12.1.1.132,18009,192.168.1.205,56943,TCP,user,20,2718,1.473,135.9,attack_tomcat_rce
12.1.1.132,50472,142.250.110.188,5228,TCP,user,20,2130,180.234,106.5,benign_background
12.1.1.132,18009,192.168.1.205,56948,TCP,user,20,4662,0.099,233.1,attack_tomcat_rce
12.1.1.132,18009,192.168.1.205,36533,TCP,user,20,3992,0.087,199.6,attack_tomcat_rce
12.1.1.132,18009,192.168.1.205,36534,TCP,user,20,3976,0.084,198.8,attack_tomcat_rce
12.1.1.132,51057,192.168.1.168,7680,TCP,user,16,2072,15.116,129.5,benign_background
12.1.1.132,51065,192.168.1.168,7680,TCP,user,16,2016,10.094,126.0,benign_background
10.20.32.27,7680,12.1.1.132,51028,TCP,user,10,1120,15.005,112.0,benign_background
10.30.50.19,7680,12.1.1.132,51310,TCP,user,10,1120,15.03,112.0,benign_background
10.30.40.31,7680,12.1.1.132,51059,TCP,user,10,1120,15.03,112.0,benign_background
10.30.50.19,7680,12.1.1.132,51060,TCP,user,10,1120,14.94,112.0,benign_background
10.20.48.40,7680,12.1.1.132,62783,TCP,user,10,1120,15.035,112.0,benign_background
10.30.48.25,7680,12.1.1.132,51061,TCP,user,10,1120,15.025,112.0,benign_background
10.30.34.120,7680,12.1.1.132,51062,TCP,user,10,1120,15.025,112.0,benign_background
10.30.35.117,7680,12.1.1.132,62784,TCP,user,10,1120,15.02,112.0,benign_background
10.30.35.119,7680,12.1.1.132,51063,TCP,user,10,1120,15.03,112.0,benign_background
10.20.40.146,7680,12.1.1.132,63422,TCP,user,10,1120,15.03,112.0,benign_background
10.30.56.123,7680,12.1.1.132,51064,TCP,user,10,1120,15.035,112.0,benign_background
10.20.34.130,7680,12.1.1.132,63423,TCP,user,10,1120,15.02,112.0,benign_background
10.20.37.129,7680,12.1.1.132,58373,TCP,user,8,896,7.03,112.0,benign_background
12.1.1.132,41586,8.8.8.8,53,UDP,user,4,780,0.007,195.0,benign_background
12.1.1.132,41044,8.8.8.8,53,UDP,user,4,630,0.007,157.5,benign_background
12.1.1.132,39928,8.8.8.8,53,UDP,user,4,622,0.007,155.5,benign_background
12.1.1.132,55844,8.8.8.8,53,UDP,user,4,616,0.012,154.0,benign_background
12.1.1.132,61245,4.207.247.137,443,TCP,user,4,426,0.049,106.5,benign_background
12.1.1.132,56353,8.8.8.8,53,UDP,user,4,840,0.008,210.0,benign_background
12.1.1.132,57095,8.8.8.8,53,UDP,user,4,790,0.009,197.5,benign_background
12.1.1.132,59722,8.8.8.8,53,UDP,user,4,638,0.035,159.5,benign_background
12.1.1.132,42652,8.8.8.8,53,UDP,user,4,670,0.011,167.5,benign_background
12.1.1.132,53299,8.8.8.8,53,UDP,user,4,646,0.007,161.5,benign_background
12.1.1.132,33182,8.8.8.8,53,UDP,user,4,564,0.007,141.0,benign_background
12.1.1.132,40592,8.8.8.8,53,UDP,user,4,1014,0.014,253.5,benign_background
12.1.1.132,56661,8.8.8.8,53,UDP,user,4,908,0.013,227.0,benign_background
12.1.1.132,50426,4.207.247.137,443,TCP,user,4,426,0.05,106.5,benign_background
12.1.1.132,32858,8.8.8.8,53,UDP,user,4,882,0.007,220.5,benign_background
12.1.1.132,49420,8.8.8.8,53,UDP,user,4,1016,0.012,254.0,benign_background
12.1.1.132,56622,8.8.8.8,53,UDP,user,4,824,0.007,206.0,benign_background
12.1.1.132,42545,8.8.8.8,53,UDP,user,4,798,0.011,199.5,benign_background
12.1.1.132,55223,8.8.8.8,53,UDP,user,4,728,0.007,182.0,benign_background
12.1.1.132,41033,8.8.8.8,53,UDP,user,4,662,0.011,165.5,benign_background
12.1.1.132,40212,8.8.8.8,53,UDP,user,4,806,0.008,201.5,benign_background
