frame,t_epoch,t_rel,len,plane,tunneled,teid,ip_in_src,ip_in_dst,l4_proto,sport,dport,proto,label
1,1780399100.457459000,0.000000000,112,user,1,0x00000001,12.1.1.132,10.20.32.27,TCP,51028,7680,GTP/TCP,benign_background
2,1780399100.457463000,0.000004000,112,user,1,0x00000001,12.1.1.132,10.20.32.27,TCP,51028,7680,GTP/TCP,benign_background
3,1780399100.922480000,0.465021000,112,user,1,0x00000001,12.1.1.132,192.168.1.168,TCP,51057,7680,GTP/TCP,benign_background
4,1780399100.922484000,0.465025000,112,user,1,0x00000001,12.1.1.132,192.168.1.168,TCP,51057,7680,GTP/TCP,benign_background
5,1780399100.997977000,0.540518000,140,user,1,0x7a3ba92d,12.1.1.132,192.168.1.168,TCP,51057,7680,GTP/ICMP,benign_background
6,1780399100.997977000,0.540518000,140,user,1,0x7a3ba92d,12.1.1.132,192.168.1.168,TCP,51057,7680,GTP/ICMP,benign_background
7,1780399100.997995000,0.540536000,140,user,1,0x7a3ba92d,12.1.1.132,192.168.1.168,TCP,51057,7680,GTP/ICMP,benign_background
8,1780399100.997995000,0.540536000,140,user,1,0x7a3ba92d,12.1.1.132,192.168.1.168,TCP,51057,7680,GTP/ICMP,benign_background
9,1780399100.998006000,0.540547000,140,user,1,0x7a3ba92d,12.1.1.132,192.168.1.168,TCP,51057,7680,GTP/ICMP,benign_background
10,1780399100.998006000,0.540547000,140,user,1,0x7a3ba92d,12.1.1.132,192.168.1.168,TCP,51057,7680,GTP/ICMP,benign_background
11,1780399101.457484000,1.000025000,112,user,1,0x00000001,12.1.1.132,10.20.32.27,TCP,51028,7680,GTP/TCP,benign_background
12,1780399101.457487000,1.000028000,112,user,1,0x00000001,12.1.1.132,10.20.32.27,TCP,51028,7680,GTP/TCP,benign_background
13,1780399103.457596000,3.000137000,112,user,1,0x00000001,12.1.1.132,10.20.32.27,TCP,51028,7680,GTP/TCP,benign_background
14,1780399103.457601000,3.000142000,112,user,1,0x00000001,12.1.1.132,10.20.32.27,TCP,51028,7680,GTP/TCP,benign_background
15,1780399104.242693000,3.785234000,217,user,1,0x00000001,12.1.1.132,51.116.246.104,TCP,51027,443,GTP/TLSv1.2,benign_background
16,1780399104.242699000,3.785240000,217,user,1,0x00000001,12.1.1.132,51.116.246.104,TCP,51027,443,GTP/TCP,benign_background
17,1780399104.243295000,3.785836000,1516,user,0,,192.168.70.129,192.168.70.134,,,,IPv4,gtpu_n3_fragment
18,1780399104.243297000,3.785838000,1516,user,0,,192.168.70.129,192.168.70.134,,,,IPv4,gtpu_n3_fragment
19,1780399104.243320000,3.785861000,1233,user,1,0x00000001,12.1.1.132,51.116.246.104,TCP,51027,443,GTP/TLSv1.2,benign_background
20,1780399104.243321000,3.785862000,1233,user,1,0x00000001,12.1.1.132,51.116.246.104,TCP,51027,443,GTP/TCP,benign_background
21,1780399104.282192000,3.824733000,100,user,1,0x7a3ba92d,51.116.246.104,12.1.1.132,TCP,443,51027,GTP/TCP,benign_background
22,1780399104.282193000,3.824734000,100,user,1,0x7a3ba92d,51.116.246.104,12.1.1.132,TCP,443,51027,GTP/TCP,benign_background
23,1780399104.374829000,3.917370000,221,user,1,0x7a3ba92d,51.116.246.104,12.1.1.132,TCP,443,51027,GTP/TLSv1.2,benign_background
24,1780399104.374830000,3.917371000,221,user,1,0x7a3ba92d,51.116.246.104,12.1.1.132,TCP,443,51027,GTP/TCP,benign_background
25,1780399104.392494000,3.935035000,135,user,1,0x00000001,12.1.1.132,51.116.246.104,TCP,51027,443,GTP/TLSv1.2,benign_background
26,1780399104.392499000,3.935040000,135,user,1,0x00000001,12.1.1.132,51.116.246.104,TCP,51027,443,GTP/TCP,benign_background
27,1780399104.492212000,4.034753000,100,user,1,0x7a3ba92d,51.116.246.104,12.1.1.132,TCP,443,51027,GTP/TCP,benign_background
28,1780399104.492214000,4.034755000,100,user,1,0x7a3ba92d,51.116.246.104,12.1.1.132,TCP,443,51027,GTP/TCP,benign_background
29,1780399104.927525000,4.470066000,112,user,1,0x00000001,12.1.1.132,192.168.1.168,TCP,51057,7680,GTP/TCP,benign_background
30,1780399104.927531000,4.470072000,112,user,1,0x00000001,12.1.1.132,192.168.1.168,TCP,51057,7680,GTP/TCP,benign_background
31,1780399105.093929000,4.636470000,100,control,0,,192.168.70.132,192.168.70.129,SCTP,38412,39959,SCTP,control_ngap
32,1780399105.093933000,4.636474000,100,control,0,,192.168.70.132,192.168.70.129,SCTP,38412,39959,SCTP,control_ngap
33,1780399105.093948000,4.636489000,100,control,0,,192.168.70.129,192.168.70.132,SCTP,39959,38412,SCTP,control_ngap
34,1780399105.093950000,4.636491000,100,control,0,,192.168.70.129,192.168.70.132,SCTP,39959,38412,SCTP,control_ngap
35,1780399106.367537000,5.910078000,112,user,1,0x00000001,12.1.1.132,18.192.147.71,TCP,47430,8001,GTP/TCP,benign_background
36,1780399106.367543000,5.910084000,112,user,1,0x00000001,12.1.1.132,18.192.147.71,TCP,47430,8001,GTP/TCP,benign_background
37,1780399106.402003000,5.944544000,112,user,1,0x7a3ba92d,18.192.147.71,12.1.1.132,TCP,8001,47430,GTP/TCP,benign_background
38,1780399106.402004000,5.944545000,112,user,1,0x7a3ba92d,18.192.147.71,12.1.1.132,TCP,8001,47430,GTP/TCP,benign_background
39,1780399107.457480000,7.000021000,112,user,1,0x00000001,12.1.1.132,10.20.32.27,TCP,51028,7680,GTP/TCP,benign_background
40,1780399107.457487000,7.000028000,112,user,1,0x00000001,12.1.1.132,10.20.32.27,TCP,51028,7680,GTP/TCP,benign_background
41,1780399108.037975000,7.580516000,140,user,1,0x7a3ba92d,12.1.1.132,192.168.1.168,TCP,51057,7680,GTP/ICMP,benign_background
42,1780399108.037977000,7.580518000,140,user,1,0x7a3ba92d,12.1.1.132,192.168.1.168,TCP,51057,7680,GTP/ICMP,benign_background
43,1780399108.962503000,8.505044000,218,user,1,0x00000001,12.1.1.132,51.116.246.104,TCP,51027,443,GTP/TLSv1.2,benign_background
44,1780399108.962508000,8.505049000,218,user,1,0x00000001,12.1.1.132,51.116.246.104,TCP,51027,443,GTP/TCP,benign_background
45,1780399108.983354000,8.525895000,1516,user,0,,192.168.70.129,192.168.70.134,,,,IPv4,gtpu_n3_fragment
46,1780399108.983360000,8.525901000,1516,user,0,,192.168.70.129,192.168.70.134,,,,IPv4,gtpu_n3_fragment
47,1780399108.983388000,8.525929000,1230,user,1,0x00000001,12.1.1.132,51.116.246.104,TCP,51027,443,GTP/TLSv1.2,benign_background
48,1780399108.983389000,8.525930000,1230,user,1,0x00000001,12.1.1.132,51.116.246.104,TCP,51027,443,GTP/TCP,benign_background
49,1780399109.022320000,8.564861000,100,user,1,0x7a3ba92d,51.116.246.104,12.1.1.132,TCP,443,51027,GTP/TCP,benign_background
50,1780399109.022321000,8.564862000,100,user,1,0x7a3ba92d,51.116.246.104,12.1.1.132,TCP,443,51027,GTP/TCP,benign_background
51,1780399109.095969000,8.638510000,199,user,1,0x7a3ba92d,51.116.246.104,12.1.1.132,TCP,443,51027,GTP/TLSv1.2,benign_background
52,1780399109.095971000,8.638512000,199,user,1,0x7a3ba92d,51.116.246.104,12.1.1.132,TCP,443,51027,GTP/TCP,benign_background
53,1780399109.157468000,8.700009000,100,user,1,0x00000001,12.1.1.132,51.116.246.104,TCP,51027,443,GTP/TCP,benign_background
54,1780399109.157473000,8.700014000,100,user,1,0x00000001,12.1.1.132,51.116.246.104,TCP,51027,443,GTP/TCP,benign_background
55,1780399112.587442000,12.129983000,101,user,1,0x00000001,12.1.1.132,74.178.130.41,TCP,50421,443,GTP/SSL,benign_background
56,1780399112.587447000,12.129988000,101,user,1,0x00000001,12.1.1.132,74.178.130.41,TCP,50421,443,GTP/TCP,benign_background
57,1780399112.634930000,12.177471000,112,user,1,0x7a3ba92d,74.178.130.41,12.1.1.132,TCP,443,50421,GTP/TCP,benign_background
58,1780399112.634931000,12.177472000,112,user,1,0x7a3ba92d,74.178.130.41,12.1.1.132,TCP,443,50421,GTP/TCP,benign_background
59,1780399112.937504000,12.480045000,112,user,1,0x00000001,12.1.1.132,192.168.1.168,TCP,51057,7680,GTP/TCP,benign_background
60,1780399112.937510000,12.480051000,112,user,1,0x00000001,12.1.1.132,192.168.1.168,TCP,51057,7680,GTP/TCP,benign_background
61,1780399115.462487000,15.005028000,112,user,1,0x00000001,12.1.1.132,10.20.32.27,TCP,51028,7680,GTP/TCP,benign_background
62,1780399115.462493000,15.005034000,112,user,1,0x00000001,12.1.1.132,10.20.32.27,TCP,51028,7680,GTP/TCP,benign_background
63,1780399116.037988000,15.580529000,140,user,1,0x7a3ba92d,12.1.1.132,192.168.1.168,TCP,51057,7680,GTP/ICMP,benign_background
64,1780399116.037989000,15.580530000,140,user,1,0x7a3ba92d,12.1.1.132,192.168.1.168,TCP,51057,7680,GTP/ICMP,benign_background
65,1780399117.894919000,17.437460000,100,control,0,,192.168.70.129,192.168.70.132,SCTP,39959,38412,SCTP,control_ngap
66,1780399117.894922000,17.437463000,100,control,0,,192.168.70.129,192.168.70.132,SCTP,39959,38412,SCTP,control_ngap
67,1780399117.894938000,17.437479000,100,control,0,,192.168.70.132,192.168.70.129,SCTP,38412,39959,SCTP,control_ngap
68,1780399117.894939000,17.437480000,100,control,0,,192.168.70.132,192.168.70.129,SCTP,38412,39959,SCTP,control_ngap
69,1780399118.470292000,18.012833000,112,user,1,0x7a3ba92d,18.192.147.71,12.1.1.132,TCP,8001,47430,GTP/TCP,benign_background
70,1780399118.470293000,18.012834000,112,user,1,0x7a3ba92d,18.192.147.71,12.1.1.132,TCP,8001,47430,GTP/TCP,benign_background
71,1780399118.487488000,18.030029000,112,user,1,0x00000001,12.1.1.132,18.192.147.71,TCP,47430,8001,GTP/TCP,benign_background
72,1780399118.487494000,18.030035000,112,user,1,0x00000001,12.1.1.132,18.192.147.71,TCP,47430,8001,GTP/TCP,benign_background
73,1780399122.152477000,21.695018000,101,user,1,0x00000001,12.1.1.132,142.251.168.188,TCP,50482,5228,GTP/TCP,benign_background
74,1780399122.152483000,21.695024000,101,user,1,0x00000001,12.1.1.132,142.251.168.188,TCP,50482,5228,GTP/TCP,benign_background
75,1780399122.176342000,21.718883000,112,user,1,0x7a3ba92d,142.251.168.188,12.1.1.132,TCP,5228,50482,GTP/TCP,benign_background
76,1780399122.176344000,21.718885000,112,user,1,0x7a3ba92d,142.251.168.188,12.1.1.132,TCP,5228,50482,GTP/TCP,benign_background
77,1780399123.137476000,22.680017000,112,user,1,0x00000001,12.1.1.132,34.120.177.193,TCP,51305,443,GTP/TCP,benign_background
78,1780399123.137483000,22.680024000,112,user,1,0x00000001,12.1.1.132,34.120.177.193,TCP,51305,443,GTP/TCP,benign_background
79,1780399123.144549000,22.687090000,112,user,1,0x7a3ba92d,34.120.177.193,12.1.1.132,TCP,443,51305,GTP/TCP,benign_background
80,1780399123.144549000,22.687090000,112,user,1,0x7a3ba92d,34.120.177.193,12.1.1.132,TCP,443,51305,GTP/TCP,benign_background
81,1780399123.162472000,22.705013000,100,user,1,0x00000001,12.1.1.132,34.120.177.193,TCP,51305,443,GTP/TCP,benign_background
82,1780399123.162476000,22.705017000,100,user,1,0x00000001,12.1.1.132,34.120.177.193,TCP,51305,443,GTP/TCP,benign_background
83,1780399123.252513000,22.795054000,381,user,1,0x00000001,12.1.1.132,34.120.177.193,TCP,51305,443,GTP/TLSv1,benign_background
84,1780399123.252517000,22.795058000,381,user,1,0x00000001,12.1.1.132,34.120.177.193,TCP,51305,443,GTP/TCP,benign_background
85,1780399123.258122000,22.800663000,100,user,1,0x7a3ba92d,34.120.177.193,12.1.1.132,TCP,443,51305,GTP/TCP,benign_background
86,1780399123.258122000,22.800663000,100,user,1,0x7a3ba92d,34.120.177.193,12.1.1.132,TCP,443,51305,GTP/TCP,benign_background
